id,postal_cd,country_cd,city_name,state,lat,lng,loc
36003,84323,US,Logan,UT,41.7358000000,-111.8336000000,US-UT-Logan-84323
36004,84324,US,Mantua,UT,41.4828540000,-111.9467510000,US-UT-Mantua-84324
36005,84325,US,Mendon,UT,41.7320200000,-111.9924400000,US-UT-Mendon-84325
36006,84326,US,Millville,UT,41.6836500000,-111.8247960000,US-UT-Millville-84326
36007,84327,US,Newton,UT,41.8790300000,-111.9977350000,US-UT-Newton-84327
36008,84328,US,Paradise,UT,41.5373470000,-111.8745340000,US-UT-Paradise-84328
36009,84329,US,Park Valley,UT,41.6372830000,-113.3626860000,US-UT-Park Valley-84329
36010,84330,US,Plymouth,UT,41.8902990000,-112.1389270000,US-UT-Plymouth-84330
36011,84331,US,Portage,UT,41.9435330000,-112.1688340000,US-UT-Portage-84331
36012,84332,US,Providence,UT,41.6731520000,-111.8145000000,US-UT-Providence-84332
36013,84333,US,Richmond,UT,41.9169480000,-111.8287310000,US-UT-Richmond-84333
36014,84334,US,Riverside,UT,41.7921220000,-112.1524760000,US-UT-Riverside-84334
36015,84335,US,Smithfield,UT,41.8318640000,-111.9025970000,US-UT-Smithfield-84335
36016,84336,US,Snowville,UT,41.8041840000,-112.6585140000,US-UT-Snowville-84336
36017,84337,US,Tremonton,UT,41.6927380000,-112.2667610000,US-UT-Tremonton-84337
36018,84338,US,Trenton,UT,41.9238100000,-111.9344510000,US-UT-Trenton-84338
36019,84339,US,Wellsville,UT,41.6170310000,-111.9232620000,US-UT-Wellsville-84339
36020,84340,US,Willard,UT,41.3607720000,-112.1514230000,US-UT-Willard-84340
36021,84341,US,Logan,UT,41.7716020000,-111.8074660000,US-UT-Logan-84341
36022,84401,US,Ogden,UT,41.2490580000,-111.9737000000,US-UT-Ogden-84401
36023,84402,US,Ogden,UT,41.2231000000,-111.9732000000,US-UT-Ogden-84402
36024,84403,US,Ogden,UT,41.1762670000,-111.9130020000,US-UT-Ogden-84403
36025,84404,US,Ogden,UT,41.2071310000,-112.2110290000,US-UT-Ogden-84404
36026,84405,US,Ogden,UT,41.1563150000,-111.9348720000,US-UT-Ogden-84405
36027,84407,US,Ogden,UT,41.2231000000,-111.9732000000,US-UT-Ogden-84407
36028,84408,US,Ogden,UT,41.1919880000,-111.9429310000,US-UT-Ogden-84408
36029,84409,US,Ogden,UT,41.2231000000,-111.9732000000,US-UT-Ogden-84409
36030,84412,US,Ogden,UT,41.2231000000,-111.9732000000,US-UT-Ogden-84412
36031,84414,US,Ogden,UT,41.3172680000,-111.9619680000,US-UT-Ogden-84414
36032,84415,US,Ogden,UT,41.3065000000,-111.9744000000,US-UT-Ogden-84415
36033,84501,US,Price,UT,39.5700010000,-110.8783130000,US-UT-Price-84501
36034,84510,US,Aneth,UT,37.2298190000,-109.3920050000,US-UT-Aneth-84510
36035,84511,US,Blanding,UT,37.7197160000,-109.7920220000,US-UT-Blanding-84511
36036,84512,US,Bluff,UT,37.1957400000,-109.5239620000,US-UT-Bluff-84512
36037,84513,US,Castle Dale,UT,39.2232410000,-110.9535870000,US-UT-Castle Dale-84513
36038,84515,US,Cisco,UT,38.9702000000,-109.3203000000,US-UT-Cisco-84515
36039,84516,US,Clawson,UT,39.0459070000,-110.9811420000,US-UT-Clawson-84516
36040,84518,US,Cleveland,UT,39.3652090000,-110.8787840000,US-UT-Cleveland-84518
36041,84520,US,East Carbon,UT,39.6378480000,-110.2587200000,US-UT-East Carbon-84520
36042,84521,US,Elmo,UT,39.2874990000,-110.6759800000,US-UT-Elmo-84521
36043,84522,US,Emery,UT,38.9061980000,-110.9499360000,US-UT-Emery-84522
36044,84523,US,Ferron,UT,38.8566560000,-111.0593960000,US-UT-Ferron-84523
36045,84525,US,Green River,UT,38.9850310000,-110.5523960000,US-UT-Green River-84525
36046,84526,US,Helper,UT,39.6782360000,-110.7942340000,US-UT-Helper-84526
36047,84528,US,Huntington,UT,39.3915480000,-110.8198760000,US-UT-Huntington-84528
36048,84529,US,Kenilworth,UT,39.6917820000,-110.8066360000,US-UT-Kenilworth-84529
36049,84530,US,La Sal,UT,38.2366220000,-109.1725680000,US-UT-La Sal-84530
36050,84531,US,Mexican Hat,UT,37.1591460000,-109.9986320000,US-UT-Mexican Hat-84531
36051,84532,US,Moab,UT,38.7200090000,-109.3553930000,US-UT-Moab-84532
36052,84533,US,Lake Powell,UT,37.5306860000,-110.3937040000,US-UT-Lake Powell-84533
36053,84534,US,Montezuma Creek,UT,37.2122300000,-109.2713060000,US-UT-Montezuma Creek-84534
36054,84535,US,Monticello,UT,37.9298670000,-109.5427700000,US-UT-Monticello-84535
36055,84536,US,Monument Valley,UT,37.1514540000,-110.7679570000,US-UT-Monument Valley-84536
36056,84537,US,Orangeville,UT,39.4427440000,-111.1425720000,US-UT-Orangeville-84537
36057,84539,US,Sunnyside,UT,39.6738280000,-110.5865530000,US-UT-Sunnyside-84539
36058,84540,US,Thompson,UT,38.9998680000,-109.6150100000,US-UT-Thompson-84540
36059,84542,US,Wellington,UT,39.5393310000,-110.6757360000,US-UT-Wellington-84542
36060,84601,US,Provo,UT,40.2213490000,-111.7386720000,US-UT-Provo-84601
36061,84602,US,Provo,UT,40.2487490000,-111.6498770000,US-UT-Provo-84602
36062,84603,US,Provo,UT,40.2337000000,-111.6579000000,US-UT-Provo-84603
